,O,H,L,C,V,date
69,7518.98,7644.31,7349.99,7426.04,452.325311,2019-11-28 01:00:00
70,7424.23,7855.17,7404.49,7746.69,478.743301,2019-11-29 01:00:00
71,7742.98,7809.54,7456.61,7549.51,284.967859,2019-11-30 01:00:00
72,7543.39,7543.39,7230.0,7396.02,705.402303,2019-12-01 01:00:00
73,7400.73,7422.47,7165.62,7300.84,455.414743,2019-12-02 01:00:00
74,7300.77,7401.05,7242.58,7295.26,308.563171,2019-12-03 01:00:00
75,7294.76,7732.84,7082.1,7191.4,857.316411,2019-12-04 01:00:00
76,7193.47,7483.96,7157.01,7389.8,529.053909,2019-12-05 01:00:00
77,7391.97,7596.36,7306.0,7534.87,492.922769,2019-12-06 01:00:00
78,7533.48,7621.48,7482.14,7496.7,236.188497,2019-12-07 01:00:00
79,7496.05,7575.58,7387.46,7518.87,198.347623,2019-12-08 01:00:00
80,7520.4,7649.33,7276.49,7339.49,474.497252,2019-12-09 01:00:00
81,7339.47,7398.96,7162.0,7223.92,394.117838,2019-12-10 01:00:00
82,7223.52,7266.12,7126.22,7194.36,291.205484,2019-12-11 01:00:00
83,7195.48,7282.37,7073.38,7186.86,373.296964,2019-12-12 01:00:00
84,7188.37,7292.8,7180.0,7248.97,327.60037,2019-12-13 01:00:00
85,7249.51,7264.0,7006.46,7058.15,440.413766,2019-12-14 01:00:00
86,7057.62,7195.47,7003.93,7110.0,334.641797,2019-12-15 01:00:00
87,7112.72,7135.18,6822.58,6879.65,557.931427,2019-12-16 01:00:00
88,6879.67,6930.13,6551.07,6614.17,755.220029,2019-12-17 01:00:00
89,6616.65,7445.78,6430.2,7280.0,1252.422813,2019-12-18 01:00:00
90,7285.25,7370.0,7045.02,7148.01,480.117194,2019-12-19 01:00:00
91,7149.75,7213.47,7078.8,7187.52,381.912177,2019-12-20 01:00:00
92,7188.0,7189.64,7114.66,7134.5,200.077639,2019-12-21 01:00:00
93,7134.5,7520.0,7125.0,7504.47,510.705755,2019-12-22 01:00:00
94,7511.99,7688.82,7267.1,7316.11,720.533361,2019-12-23 01:00:00
95,7312.76,7419.98,7155.41,7250.12,531.731345,2019-12-24 01:00:00
96,7248.35,7256.79,7111.68,7192.07,308.12731,2019-12-25 01:00:00
97,7193.86,7415.21,7149.41,7192.39,388.39912,2019-12-26 01:00:00
98,7192.38,7247.93,7060.0,7240.0,240.823991,2019-12-27 01:00:00
99,7239.99,7343.02,7234.65,7292.62,184.80291,2019-12-28 01:00:00
100,7292.62,7513.76,7272.74,7384.92,265.688771,2019-12-29 01:00:00
101,7384.02,7384.02,7200.0,7222.77,246.497383,2019-12-30 01:00:00
102,7223.75,7297.6,7121.44,7168.84,172.952056,2019-12-31 01:00:00
103,7169.12,7231.86,7151.58,7176.58,93.548672,2020-01-01 01:00:00
104,7177.13,7185.03,6900.0,6945.33,311.705653,2020-01-02 01:00:00
105,6944.41,7393.5,6853.79,7329.2,655.633576,2020-01-03 01:00:00
106,7330.91,7388.0,7263.55,7346.2,299.060756,2020-01-04 01:00:00
107,7346.2,7486.66,7315.0,7351.42,363.286518,2020-01-05 01:00:00
108,7349.84,7794.98,7343.29,7755.1,556.563567,2020-01-06 01:00:00
109,7757.48,8204.71,7730.0,8154.74,1019.907075,2020-01-07 01:00:00
110,8150.58,8459.66,7825.0,8047.67,1249.764389,2020-01-08 01:00:00
111,8045.25,8045.25,7750.0,7812.32,650.156647,2020-01-09 01:00:00
112,7810.15,8195.36,7669.25,8195.36,981.226436,2020-01-10 01:00:00
113,8195.91,8283.57,8002.09,8015.89,591.684377,2020-01-11 01:00:00
114,8014.12,8180.08,7960.73,8180.08,462.970932,2020-01-12 01:00:00
115,8180.34,8188.69,8046.02,8101.69,302.221845,2020-01-13 01:00:00
116,8101.68,8880.0,8101.68,8809.38,1412.044422,2020-01-14 01:00:00
117,8810.87,8899.0,8558.69,8813.85,1078.590257,2020-01-15 01:00:00
118,8813.82,8844.56,8581.81,8710.19,640.945445,2020-01-16 01:00:00
119,8709.23,9009.68,8661.63,8888.52,1150.207271,2020-01-17 01:00:00
120,8893.76,8973.91,8800.0,8909.19,824.07572,2020-01-18 01:00:00
121,8906.67,9185.0,8480.0,8690.65,998.247562,2020-01-19 01:00:00
122,8690.66,8730.79,8509.48,8626.06,708.718632,2020-01-20 01:00:00
123,8628.7,8765.74,8472.81,8721.25,629.499698,2020-01-21 01:00:00
124,8720.95,8792.44,8568.37,8660.0,457.065926,2020-01-22 01:00:00
125,8654.87,8664.28,8280.0,8385.72,963.106305,2020-01-23 01:00:00
126,8386.86,8509.7,8218.62,8424.81,843.214415,2020-01-24 01:00:00
127,8424.24,8434.14,8252.68,8322.75,639.871432,2020-01-25 01:00:00
128,8322.65,8597.84,8281.47,8595.94,641.274251,2020-01-26 01:00:00
129,8595.58,8981.59,8552.09,8891.56,852.21121,2020-01-27 01:00:00
130,8888.29,9400.0,8885.0,9376.3,1053.812339,2020-01-28 01:00:00
131,9374.29,9424.38,9217.96,9283.4,870.172211,2020-01-29 01:00:00
132,9283.4,9561.24,9180.12,9499.49,780.63653,2020-01-30 01:00:00
133,9501.12,9519.42,9192.49,9336.29,726.838141,2020-01-31 01:00:00
134,9336.5,9452.23,9287.62,9377.14,789.161182,2020-02-01 01:00:00
135,9376.72,9474.47,9150.0,9321.69,829.733726,2020-02-02 01:00:00
136,9323.44,9601.17,9207.03,9284.88,881.44093,2020-02-03 01:00:00
137,9280.42,9339.98,9080.0,9169.11,1073.6558,2020-02-04 01:00:00
138,9169.11,9750.0,9151.56,9609.41,1598.883719,2020-02-05 01:00:00
139,9609.75,9850.0,9528.17,9752.92,1327.306145,2020-02-06 01:00:00
140,9753.12,9870.0,9715.63,9805.13,1103.920731,2020-02-07 01:00:00
141,9804.08,9944.18,9658.56,9901.35,1208.004566,2020-02-08 01:00:00
142,9901.56,10173.68,9887.8,10163.37,1237.339041,2020-02-09 01:00:00
143,10163.92,10196.53,9757.58,9849.46,1932.568306,2020-02-10 01:00:00
144,9847.63,10352.46,9708.07,10257.86,2272.148908,2020-02-11 01:00:00
145,10259.72,10477.55,10244.11,10345.0,1840.049163,2020-02-12 01:00:00
146,10344.47,10505.92,10081.83,10230.0,1986.222024,2020-02-13 01:00:00
147,10229.35,10388.65,10099.81,10365.4,1506.217527,2020-02-14 01:00:00
148,10362.01,10397.36,9800.0,9903.47,1432.247391,2020-02-15 01:00:00
149,9903.39,10049.94,9629.58,9922.46,1988.425395,2020-02-16 01:00:00
150,9922.44,9967.33,9457.84,9705.82,1939.102482,2020-02-17 01:00:00
151,9707.3,10273.08,9602.62,10185.88,1662.951676,2020-02-18 01:00:00
152,10189.16,10264.15,9350.03,9598.06,1870.572922,2020-02-19 01:00:00
153,9597.61,9698.87,9410.0,9603.98,2027.580788,2020-02-20 01:00:00
154,9603.56,9762.4,9574.62,9689.0,1592.241965,2020-02-21 01:00:00
155,9687.74,9717.48,9567.04,9666.67,983.103474,2020-02-22 01:00:00
156,9665.11,10018.78,9663.72,9964.16,1784.76485,2020-02-23 01:00:00
157,9964.51,10019.86,9484.35,9654.97,3020.416737,2020-02-24 01:00:00
158,9653.31,9673.16,9240.02,9308.43,3051.645472,2020-02-25 01:00:00
159,9306.54,9365.21,8622.23,8775.92,4249.334944,2020-02-26 01:00:00
160,8778.26,8974.75,8523.95,8815.88,4075.596499,2020-02-27 01:00:00
161,8817.81,8899.99,8437.4,8706.48,4328.05479,2020-02-28 01:00:00
162,8702.71,8796.91,8522.87,8524.53,1837.605561,2020-02-29 01:00:00
163,8522.83,8746.68,8411.11,8525.69,3142.774062,2020-03-01 01:00:00
164,8521.81,8970.07,8487.7,8916.01,2665.672862,2020-03-02 01:00:00
165,8919.54,8920.83,8658.18,8759.41,2328.872989,2020-03-03 01:00:00
166,8761.16,8849.79,8668.03,8757.57,1695.394566,2020-03-04 01:00:00
167,8757.64,9170.0,8757.56,9069.3,2769.450271,2020-03-05 01:00:00
168,9068.96,9179.0,8999.0,9152.98,2256.399482,2020-03-06 01:00:00
169,9153.13,9212.26,8860.0,8896.07,1820.715929,2020-03-07 01:00:00
170,8895.83,8895.83,8003.2,8035.49,4783.538762,2020-03-08 01:00:00
171,8035.39,8178.26,7633.36,7926.58,9023.481519,2020-03-09 01:00:00
172,7926.62,8151.72,7731.89,7889.21,4903.581088,2020-03-10 01:00:00
173,7892.58,7985.51,7587.34,7940.09,3727.709732,2020-03-11 01:00:00
174,7941.97,7968.67,4418.46,4802.94,16148.574528,2020-03-12 01:00:00
175,4800.43,5995.35,3775.58,5634.62,15691.834508,2020-03-13 01:00:00
176,5625.69,5662.06,5052.06,5164.13,8073.133499,2020-03-14 01:00:00
177,5174.02,5962.79,5090.48,5353.66,7156.882162,2020-03-15 01:00:00
178,5352.22,5353.56,4433.58,5032.16,14750.439831,2020-03-16 01:00:00
179,5033.7,5550.0,4930.01,5336.77,9352.025912,2020-03-17 01:00:00
180,5335.61,5450.0,5020.81,5412.82,8949.317471,2020-03-18 01:00:00
181,5412.47,6421.46,5268.13,6182.87,8638.795033,2020-03-19 01:00:00
182,6181.63,6930.11,5667.71,6208.8,10493.604387,2020-03-20 01:00:00
183,6211.3,6465.0,5869.65,6198.75,8647.776176,2020-03-21 01:00:00
184,6195.33,6413.72,5744.54,5818.63,8248.269399,2020-03-22 01:00:00
185,5820.02,6622.32,5689.28,6493.87,8358.45083,2020-03-23 01:00:00
186,6493.88,6856.6,6402.04,6762.28,5588.456393,2020-03-24 01:00:00
187,6762.61,6979.0,6475.2,6691.16,5156.321661,2020-03-25 01:00:00
188,6694.17,6793.87,6530.0,6754.51,3383.319532,2020-03-26 01:00:00
189,6756.28,6868.42,6274.34,6366.98,3832.715022,2020-03-27 01:00:00
190,6368.42,6368.42,6032.22,6251.0,3958.723467,2020-03-28 01:00:00
191,6251.14,6276.79,5871.51,5883.13,3152.119831,2020-03-29 01:00:00
192,5882.97,6617.48,5860.2,6405.92,5034.64891,2020-03-30 02:00:00
193,6405.93,6529.97,6337.73,6427.47,3471.214659,2020-03-31 02:00:00
194,6427.83,6697.94,6159.86,6664.3,4574.452603,2020-04-01 02:00:00
195,6664.24,7232.96,6578.95,6797.85,7721.929734,2020-04-02 02:00:00
196,6797.85,7052.5,6612.64,6739.29,6605.503119,2020-04-03 02:00:00
197,6739.43,7003.98,6660.95,6871.1,5188.746581,2020-04-04 02:00:00
198,6871.07,6907.0,6681.13,6782.53,3805.44571,2020-04-05 02:00:00
199,6783.03,7363.41,6775.0,7339.31,7022.341582,2020-04-06 02:00:00
200,7340.23,7465.1,7078.76,7199.79,6226.079559,2020-04-07 02:00:00
201,7201.52,7425.0,7153.06,7372.16,4156.921059,2020-04-08 02:00:00
202,7372.12,7378.72,7118.88,7293.8,3011.976629,2020-04-09 02:00:00
203,7293.79,7303.24,6750.0,6867.8,6042.599142,2020-04-10 02:00:00
204,6867.9,6951.72,6770.7,6886.37,2719.812503,2020-04-11 02:00:00
205,6886.74,7194.98,6790.14,6912.7,3674.515937,2020-04-12 02:00:00
