,2K-mean,KNN,2KNN,Actual_price,Error
89,7167.765,7148.01,7187.52,7134.5,-33.26500000000033
90,7161.01,7187.52,7134.5,7504.47,343.46000000000004
91,7319.485000000001,7134.5,7504.47,7316.11,-3.3750000000009095
92,7410.29,7504.47,7316.11,7250.12,-160.17000000000007
93,7283.115,7316.11,7250.12,7192.07,-91.04500000000007
94,7221.094999999999,7250.12,7192.07,7192.39,-28.704999999999018
95,7192.23,7192.07,7192.39,7240.0,47.77000000000044
96,7216.195,7192.39,7240.0,7292.62,76.42500000000018
97,7266.3099999999995,7240.0,7292.62,7384.92,118.61000000000058
98,7338.77,7292.62,7384.92,7222.77,-116.0
99,7303.845,7384.92,7222.77,7168.84,-135.0050000000001
100,7195.805,7222.77,7168.84,7176.58,-19.225000000000364
101,7172.71,7168.84,7176.58,6945.33,-227.3800000000001
102,7060.955,7176.58,6945.33,7329.2,268.2449999999999
103,7137.264999999999,6945.33,7329.2,7346.2,208.9350000000004
104,7337.7,7329.2,7346.2,7351.42,13.720000000000255
105,7348.8099999999995,7346.2,7351.42,7755.1,406.2900000000009
106,7553.26,7351.42,7755.1,8154.74,601.4799999999996
107,7954.92,7755.1,8154.74,8047.67,92.75
108,8101.205,8154.74,8047.67,7812.32,-288.8850000000002
109,7929.995,8047.67,7812.32,8195.36,265.3650000000007
110,8003.84,7812.32,8195.36,8015.89,12.050000000000182
111,8105.625,8195.36,8015.89,8180.08,74.45499999999993
112,8097.985000000001,8015.89,8180.08,8101.69,3.7049999999990177
113,8140.885,8180.08,8101.69,8809.38,668.494999999999
114,8455.535,8101.69,8809.38,8813.85,358.3150000000005
115,8811.615,8809.38,8813.85,8710.19,-101.42499999999927
116,8762.02,8813.85,8710.19,8888.52,126.5
117,8799.355,8710.19,8888.52,8909.19,109.83500000000095
118,8898.855,8888.52,8909.19,8690.65,-208.20499999999993
119,8799.92,8909.19,8690.65,8626.06,-173.86000000000058
120,8658.355,8690.65,8626.06,8721.25,62.89500000000044
121,8673.654999999999,8626.06,8721.25,8660.0,-13.654999999998836
122,8690.625,8721.25,8660.0,8385.72,-304.90500000000065
123,8522.86,8660.0,8385.72,8424.81,-98.05000000000109
124,8405.265,8385.72,8424.81,8322.75,-82.51499999999942
125,8373.779999999999,8424.81,8322.75,8595.94,222.16000000000167
126,8459.345000000001,8322.75,8595.94,8891.56,432.2149999999983
127,8743.75,8595.94,8891.56,9376.3,632.5499999999993
128,9133.93,8891.56,9376.3,9283.4,149.46999999999935
129,9329.849999999999,9376.3,9283.4,9499.49,169.64000000000124
130,9391.445,9283.4,9499.49,9336.29,-55.154999999998836
131,9417.89,9499.49,9336.29,9377.14,-40.75
132,9356.715,9336.29,9377.14,9321.69,-35.024999999999636
133,9349.415,9377.14,9321.69,9284.88,-64.53500000000167
134,9303.285,9321.69,9284.88,9169.11,-134.17499999999927
135,9226.994999999999,9284.88,9169.11,9609.41,382.4150000000009
136,9389.26,9169.11,9609.41,9752.92,363.65999999999985
137,9681.165,9609.41,9752.92,9805.13,123.96499999999833
138,9779.025,9752.92,9805.13,9901.35,122.32500000000073
139,9853.24,9805.13,9901.35,10163.37,310.130000000001
140,10032.36,9901.35,10163.37,9849.46,-182.90000000000146
141,10006.415,10163.37,9849.46,10257.86,251.4449999999997
142,10053.66,9849.46,10257.86,10345.0,291.34000000000015
143,10301.43,10257.86,10345.0,10230.0,-71.43000000000029
144,10287.5,10345.0,10230.0,10365.4,77.89999999999964
145,10297.7,10230.0,10365.4,9903.47,-394.2300000000014
146,10134.435,10365.4,9903.47,9922.46,-211.97500000000036
147,9912.965,9903.47,9922.46,9705.82,-207.14500000000044
148,9814.14,9922.46,9705.82,10185.88,371.7399999999998
149,9945.849999999999,9705.82,10185.88,9598.06,-347.78999999999905
150,9891.97,10185.88,9598.06,9603.98,-287.9899999999998
151,9601.02,9598.06,9603.98,9689.0,87.97999999999956
152,9646.49,9603.98,9689.0,9666.67,20.18000000000029
153,9677.835,9689.0,9666.67,9964.16,286.3250000000007
154,9815.415,9666.67,9964.16,9654.97,-160.44500000000153
155,9809.564999999999,9964.16,9654.97,9308.43,-501.1349999999984
156,9481.7,9654.97,9308.43,8775.92,-705.7800000000007
157,9042.175,9308.43,8775.92,8815.88,-226.29500000000007
158,8795.9,8775.92,8815.88,8706.48,-89.42000000000007
159,8761.18,8815.88,8706.48,8524.53,-236.64999999999964
160,8615.505000000001,8706.48,8524.53,8525.69,-89.81500000000051
161,8525.11,8524.53,8525.69,8916.01,390.89999999999964
162,8720.85,8525.69,8916.01,8759.41,38.55999999999949
163,8837.71,8916.01,8759.41,8757.57,-80.13999999999942
164,8758.49,8759.41,8757.57,9069.3,310.8099999999995
165,8913.435,8757.57,9069.3,9152.98,239.54500000000007
166,9111.14,9069.3,9152.98,8896.07,-215.0699999999997
167,9024.525,9152.98,8896.07,8035.49,-989.0349999999999
168,8465.779999999999,8896.07,8035.49,7926.58,-539.1999999999989
169,7981.035,8035.49,7926.58,7889.21,-91.82499999999982
170,7907.895,7926.58,7889.21,7940.09,32.19499999999971
171,7914.65,7889.21,7940.09,4802.94,-3111.71
172,6371.514999999999,7940.09,4802.94,5634.62,-736.8949999999995
173,5218.78,4802.94,5634.62,5164.13,-54.649999999999636
174,5399.375,5634.62,5164.13,5353.66,-45.715000000000146
175,5258.895,5164.13,5353.66,5032.16,-226.73500000000058
176,5192.91,5353.66,5032.16,5336.77,143.86000000000058
177,5184.465,5032.16,5336.77,5412.82,228.35499999999956
178,5374.795,5336.77,5412.82,6182.87,808.0749999999998
179,5797.844999999999,5412.82,6182.87,6208.8,410.95500000000084
180,6195.835,6182.87,6208.8,6198.75,2.9149999999999636
181,6203.775,6208.8,6198.75,5818.63,-385.1449999999995
182,6008.6900000000005,6198.75,5818.63,6493.87,485.1799999999994
183,6156.25,5818.63,6493.87,6762.28,606.0299999999997
184,6628.075,6493.87,6762.28,6691.16,63.085000000000036
185,6726.719999999999,6762.28,6691.16,6754.51,27.790000000000873
186,6722.835,6691.16,6754.51,6366.98,-355.8550000000005
187,6560.745,6754.51,6366.98,6251.0,-309.7449999999999
188,6308.99,6366.98,6251.0,5883.13,-425.8599999999997
189,6067.0650000000005,6251.0,5883.13,6405.92,338.85499999999956
190,6144.525,5883.13,6405.92,6427.47,282.9450000000006
191,6416.695,6405.92,6427.47,6664.3,247.60500000000047
192,6545.885,6427.47,6664.3,6797.85,251.96500000000015
193,6731.075000000001,6664.3,6797.85,6739.29,8.214999999999236
194,6768.57,6797.85,6739.29,6871.1,102.53000000000065
195,6805.195,6739.29,6871.1,6782.53,-22.664999999999964
196,6826.8150000000005,6871.1,6782.53,7339.31,512.4949999999999
197,7060.92,6782.53,7339.31,7199.79,138.8699999999999
198,7269.55,7339.31,7199.79,7372.16,102.60999999999967
199,7285.975,7199.79,7372.16,7293.8,7.824999999999818
200,7332.98,7372.16,7293.8,6867.8,-465.1799999999994
201,7080.8,7293.8,6867.8,6886.37,-194.4300000000003
202,6877.085,6867.8,6886.37,6912.7,35.61499999999978
203,6899.535,6886.37,6912.7,6855.31,-44.224999999999454
204,6884.005,6912.7,6855.31,6877.23,-6.775000000000546
205,6866.27,6855.31,6877.23,6622.99,-243.28000000000065
206,6750.11,6877.23,6622.99,7112.49,362.3800000000001
207,6867.74,6622.99,7112.49,7033.72,165.98000000000047
208,7073.105,7112.49,7033.72,7259.3,186.19500000000062
209,7146.51,7033.72,7259.3,7131.31,-15.199999999999818
210,7195.305,7259.3,7131.31,6840.5,-354.8050000000003
211,6985.905000000001,7131.31,6840.5,6850.65,-135.25500000000102
212,6845.575,6840.5,6850.65,7133.15,287.5749999999998
213,6991.9,6850.65,7133.15,7490.61,498.71000000000004
214,7311.879999999999,7133.15,7490.61,7511.21,199.33000000000084
215,7500.91,7490.61,7511.21,7545.92,45.01000000000022
216,7528.5650000000005,7511.21,7545.92,7703.16,174.59499999999935
217,7624.54,7545.92,7703.16,7785.89,161.35000000000036
218,7744.525,7703.16,7785.89,7752.63,8.105000000000473
219,7769.26,7785.89,7752.63,8785.99,1016.7299999999996
